calculation time;drawing time
6.4184;19.5157
6.5963;19.1275
6.4048;18.63
7.3993;18.4852
6.7068;18.5629
7.3557;18.4405
6.5441;18.0789
7.4218;22.9616
6.6385;18.2681
6.4004;17.5532
7.1308;18.984
6.7419;19.5989
6.7315;18.5111
6.4096;19.0612
6.5273;18.3298
6.3568;19.4589
7.0538;17.9998
6.586;18.4299
6.4259;17.6605
7.2171;18.3182
6.4267;18.3343
7.5578;18.5135
6.6556;18.0244
6.633;20.4792
6.9179;19.5435
6.6172;21.1034
6.6479;19.5717
6.8665;30.4948
7.049;18.7344
6.9131;19.7442
6.4312;21.7842
6.6825;24.4004
6.7288;18.7248
6.5881;19.5104
6.9558;18.308
6.742;17.7549
6.4746;17.6407
6.5588;18.0509
6.3413;19.1089
6.8582;18.6338
7.1282;18.5285
6.4346;18.4207
6.8351;17.5939
6.5882;18.0744
7.5998;18.7139
6.611;17.8974
6.7492;18.1075
6.6585;17.6095
6.5031;18.7459
6.6067;19.1826
6.7982;18.0991
6.6069;18.6957
6.3873;18.7648
6.54;18.8999
6.6546;17.9965
6.6825;18.9896
6.5259;17.93
6.6847;24.6047
6.7072;19.123
6.8862;19.5702
6.4502;19.8321
7.544;33.2049
7.0208;19.4561
6.785;20.2889
6.4153;21.5792
6.4495;25.8276
6.8089;26.2282
6.5259;19.138
6.4297;18.9897
6.5449;23.7658
6.8254;25.7859
7.0507;25.8388
7.1727;23.9992
7.2935;27.0919
7.727;30.2668
6.8169;27.4055
6.5436;22.7673
6.5459;30.0337
6.8917;27.8583
7.4037;19.2767
6.2635;22.0253
6.5674;19.9789
6.8452;19.2802
6.7139;21.8703
6.3979;28.981
7.2766;21.2665
6.5293;21.8071
6.4495;19.757
7.2174;32.2363
7.4778;25.7774
8.0197;20.3189
6.9999;20.9501
7.3151;20.6129
7.6968;31.0935
9.9042;33.9984
8.4722;30.432
7.7679;32.6296
7.1184;30.7153
7.0713;28.5357
7.2895;30.117
6.9195;25.2124
7.189;26.3644
7.2055;23.6676
7.0233;25.9444
8.0141;24.1024
7.4397;21.3451
7.4822;26.135
7.4864;28.8892
7.898;28.9728
7.4588;30.6531
7.4657;33.2192
7.4165;32.9134
7.4327;27.3749
8.0213;23.6984
7.7413;29.9467
7.785;32.9946
7.2113;28.9965
8.4452;29.9929
7.7044;25.8076
7.0314;27.977
6.9477;23.0199
7.5202;24.6379
6.7482;20.0941
6.749;18.4011
6.8481;19.844
6.9967;26.8591
7.3714;22.6889
7.3759;26.4221
7.2702;22.1298
7.5842;31.6777
7.3048;31.7711
9.7085;34.0219
7.5456;32.5824
7.3264;33.8919
8.0963;33.7411
7.5515;33.4819
7.3192;34.3023
7.3163;34.545
7.2064;33.4228
7.3803;33.2795
7.7766;33.8431
7.3891;33.9446
9.2371;35.1191
7.6228;33.1587
7.6216;33.8709
10.2259;35.905
7.6854;35.0849
9.8067;36.5202
7.7597;35.4417
9.4998;33.6564
8.8315;34.5109
9.2266;33.8342
7.557;32.9741
7.5875;34.1627
7.9501;33.312
7.8102;33.0392
7.8228;33.9592
9.2849;33.6476
9.5794;33.7852
9.8056;33.8708
10.0995;37.2258
9.751;34.503
9.9766;31.4456
9.5557;33.4732
9.2408;33.5492
9.7848;31.6686
9.6352;30.006
9.2627;29.428
9.8627;31.5108
9.7651;31.69
9.4083;32.7588
9.6516;27.3124
9.4061;25.3734
9.626;29.6197
9.4601;30.0535
9.4829;31.0924
10.4308;26.5999
10.3139;31.5534
10.1;32.9982
9.854;32.2073
10.037;34.0968
10.3641;35.8001
10.5766;34.5864
10.5866;33.8931
9.5169;34.6868
9.9918;35.9778
10.2556;34.9481
9.8645;34.8549
9.7544;35.7432
9.3943;32.861
10.0609;33.0355
8.5911;35.9723
7.3042;34.6481
6.8981;22.2085
6.8406;24.8248
8.9717;29.0311
7.1239;30.1364
7.6944;33.1336
8.5831;42.5276
7.3847;41.3507
8.1837;27.1884
6.9368;21.5694
7.1227;23.4876
6.7856;22.3048
6.6922;19.5052
6.367;20.3655
6.5461;24.4134
6.8455;21.0248
6.5506;20.5918
7.8789;27.6498
7.5664;26.2559
7.281;36.5829
22.4483;45.7565
7.711;28.6188
7.3936;28.9099
6.7046;26.0668
6.6121;20.8522
7.3134;19.929
6.4336;19.5778
7.5175;21.5443
6.5828;19.8712
8.8869;20.4863
6.266;19.0692
6.6269;18.4268
6.8844;19.1996
6.8797;18.7702
6.7857;18.269
6.9459;21.5721
7.0776;18.4837
7.1732;21.7461
7.2825;19.7417
6.983;22.0942
6.615;26.4334
6.9981;18.1975
7.0103;25.8027
6.6674;19.9555
7.2563;24.9109
7.2792;20.8646
7.0771;18.7821
7.3022;19.9542
7.2269;20.5907
7.4944;21.4916
7.0699;18.7082
6.6993;20.1759
7.1038;29.7522
7.2083;25.2189
6.3893;19.1059
6.5571;19.0332
6.5266;18.4216
6.4685;21.1009
6.8263;19.633
6.5814;18.1151
7.0113;18.3748
6.7204;18.8062
6.5015;18.5132
6.6511;18.8111
7.0464;18.0455
6.9967;17.9192
6.5637;18.826
6.7787;18.1922
6.5887;17.9362
6.6795;17.9901
6.5347;18.0483
6.5942;18.6809
6.8593;19.0911
6.6787;18.4672
6.9493;18.2164
6.2603;17.9294
6.5076;17.5743
6.4514;17.4617
6.5534;17.9955
6.3881;18.9883
6.6268;18.6193
6.658;17.9954
6.5525;17.4774
6.6616;17.4192
6.6897;17.2437
6.4453;17.6641
6.5725;16.9187
6.6069;18.3958
7.0782;19.9996
6.7068;18.2856
7.1358;18.507
7.3266;18.316
7.4636;26.0851
10.1315;35.6104
7.6132;25.2051
8.7521;31.0204
6.8967;18.5628
7.1915;18.5662
6.874;19.2283
6.7359;19.5078
7.6362;17.8226
7.076;20.2373
7.1703;18.7314
7.524;18.6786
7.2069;20.7057
7.1493;18.634
6.7523;18.2518
7.1974;18.8289
7.2082;18.6752
7.1177;19.1192
7.171;18.2813
7.3219;18.2256
7.202;18.0732
7.2215;18.3959
7.3336;21.8416
7.137;17.9053
7.2798;18.1337
7.3296;18.3905
7.2331;18.1315
6.9819;18.5787
6.7733;19.0486
7.2955;18.6911
7.3915;18.9931
7.8466;21.2062
7.5629;18.3161
7.4994;19.2313
7.0321;18.1725
6.9855;19.4483
6.8624;18.7423
7.0346;20.3708
7.59;25.1714
8.8909;24.8109
7.3136;19.3229
7.4352;18.4441
7.5124;19.5926
7.8697;19.4368
7.3823;19.2684
7.9935;19.6622
7.8628;18.4503
7.4629;20.5142
7.4161;19.5447
7.6263;19.8125
7.7596;18.6256
7.4061;17.99
7.7241;18.8018
7.2867;18.0315
7.3883;20.2018
7.2193;17.4015
7.3722;18.0034
7.2991;20.4109
7.3841;19.3312
7.36;18.6788
7.9084;18.1763
7.3074;24.7741
7.7405;18.6849
7.7625;19.9283
7.4175;18.6191
7.6886;19.8584
7.6675;18.9571
7.8742;18.2626
8.0035;18.0477
8.0808;18.6711
7.4275;18.518
7.9277;18.1111
7.818;18.9102
7.497;17.9314
7.5446;17.9118
7.4343;18.1241
7.6837;18.8499
7.5551;18.8258
7.2848;17.7222
7.4659;18.079
7.4064;17.4321
7.7203;17.6495
7.9524;17.4821
7.5883;17.37
7.3085;18.3408
7.5336;18.2413
7.6175;18.245
