calculation time;drawing time
328,896;21,8459
331,372;21,1873
323,492;20,7684
331,681;22,3529
325,416;25,3761
322,856;20,613
324,47;21,9578
326,271;20,779
326,427;21,5484
333,949;21,3814
324,684;21,3341
326,313;21,7939
328,982;22,2937
320,201;20,8048
319,142;20,6717
320,448;20,0379
325,411;21,0504
317,654;22,4957
326,084;20,8716
316,936;21,5892
330,02;21,5478
329,891;21,2457
326,968;21,7372
328,889;22,0314
323,44;22,9551
325,676;21,4036
339,059;21,7663
329,221;20,8915
355,924;27,7774
348,842;22,7423
333,099;20,5791
320,859;20,6837
321,013;22,0699
323,526;20,7822
344,25;21,9008
355,641;23,3999
395,652;28,6514
394,237;29,2594
385,924;31,992
395,249;25,9852
440,007;25,302
502,083;29,0301
420,855;22,9624
432,746;25,8381
444,29;32,5487
435,77;25,1089
465,4;23,6185
433,447;26,0669
388,022;32,0911
455,086;28,175
474,077;30,438
416,781;26,7785
379,883;21,1559
319,134;21,4349
323,025;21,6095
370,925;27,4694
379,505;22,9535
390,118;21,5072
392,192;21,5909
329,255;21,128
358,359;22,7566
411,975;29,5634
381,932;23,6646
383,81;26,186
363,055;24,7125
314,741;20,6063
351,31;22,0041
313,814;21,2694
315,758;20,303
316,178;20,7953
310,13;20,5491
310,707;21,0153
315,271;20,9756
305,216;21,503
310,856;20,0688
310,946;21,4157
326,297;21,7312
361,317;21,4978
351,68;22,2789
340,749;21,6958
355,832;23,0845
343,898;21,2124
381,458;20,7479
317,153;21,7505
316,575;20,5818
306,896;21,2418
312,427;20,9906
317,226;21,6024
309,012;24,2686
306,689;21,4073
310,487;20,3878
307,885;20,8119
308,346;20,2689
312,543;21,2984
306,814;20,7909
307,634;20,8153
309,015;20,6319
310,159;20,1817
307,236;20,7517
310,021;20,5991
309,024;21,206
309,257;20,6324
313,499;21,0091
311,741;21,0675
309,364;21,8816
311,09;21,0785
311,592;21,2486
309,124;23,2178
314,85;20,6862
305,615;19,9193
310,115;21,6053
313,626;21,1285
307,877;22,8083
312,365;21,5385
316,929;21,1086
311,547;20,675
311,573;20,4244
308,721;20,8948
307,628;21,0046
306,883;20,6718
308,126;22,0366
310,558;20,9324
314,917;20,9465
315,742;21,732
317,15;20,7516
313,705;21,0805
315,814;21,422
312,742;20,8735
313,235;20,8112
310,61;21,4513
321,962;23,7188
316,586;21,1374
314,924;21,6593
315,565;20,9769
326,276;20,7501
309,459;22,8823
313,512;20,4292
309,048;20,9677
312,654;20,5694
309,302;20,3163
312,499;20,3607
310,962;20,812
310,156;21,1939
314,532;22,1265
313,358;21,2157
313,295;21,1056
317,488;21,1661
317,636;22,5708
310,486;20,0911
307,684;21,1629
315,3;22,3913
313,456;20,3454
314,772;22,3166
322,622;21,1812
316,128;21,0975
306,935;21,1249
313,742;22,5894
307,692;20,4525
309,238;20,6488
307,524;20,6905
311,708;20,752
319,376;21,5784
313,393;20,7135
313,359;20,4017
310,457;20,8836
305,312;20,202
310,175;21,4473
306;21,1894
316,404;20,6888
310,855;23,9888
317,289;20,4581
315,897;20,9368
312,67;20,4373
305,772;21,1558
316,444;22,0253
310,544;20,7784
313,48;21,0598
309,622;22,8897
316,484;21,936
305,816;20,4275
307,047;20,3984
312,4;22,0986
309,114;20,4127
308,833;21,9828
313,062;21,6289
314,421;22,922
360,59;20,2343
309,543;22,467
319,587;21,3895
316,214;21,1051
312,038;21,3891
306,735;20,027
309,091;20,4911
307,851;22,1651
311,859;20,3755
308,123;20,9958
325,133;21,2622
315,257;20,2682
309,596;21,1265
331,416;29,5323
362,301;25,939
345,171;23,7141
315,336;20,8105
313,023;20,6154
315,103;21,442
317,697;20,9993
315,938;20,748
315,182;23,2085
315,701;21,1734
315,563;21,9097
313,074;20,9258
317,458;22,4148
331,452;28,0648
363,589;22,3377
329,037;21,6476
330,594;22,9335
335,173;22,4111
340,008;21,3616
354,917;21,742
366,637;22,9771
381,477;22,7089
348,023;22,3622
338,763;21,9625
330,771;22,1375
341,745;23,7635
351,511;22,0479
355,959;22,8893
350,958;26,0997
349,314;22,6744
343,381;22,0253
361,53;32,277
363,16;22,0692
352,194;22,4222
356,654;22,79
343,879;21,8564
355,745;27,2577
381,535;22,6947
345,256;23,3027
348,705;23,2646
347,36;25,788
351,305;27,5576
342,763;22,8211
349,989;24,4308
355,913;22,1776
347,399;21,9485
342,791;21,4878
367,256;26,2275
348,532;22,7621
345,779;22,3639
345,762;22,0768
348,809;21,3303
344,641;24,5315
349,66;22,8327
352,74;23,2037
352,085;22,3474
343,627;21,8148
344,634;22,4737
353,277;22,3686
349,597;22,5836
334,531;21,6948
338,234;22,277
337,696;21,7042
345,637;21,6718
347,21;22,4571
348,518;21,9372
360,364;23,0206
362,443;21,7742
346,657;22,7604
349,437;21,201
356,922;22,9288
347,098;23,7946
349,397;22,5872
357,495;24,1857
345,215;23,7884
352,209;23,3156
335,796;22,5261
339,402;22,3558
343,581;21,9799
343,359;22,2306
355,083;23,2527
350,09;22,5688
351,319;21,3463
